Basura1,IP,basura2,Correo
x,147.96.1.1,y,a@ucm.es
x,147.96.1.2,y,b@ucm.es
x,147.96.1.3,y,c@ucm.es
x,147.96.1.4,y,d@ucm.es
x,147.96.1.5,y,e@ucm.es
x,147.96.1.6,y,f@ucm.es
x,147.96.1.7,y,g@ucm.es
x,147.96.1.8,y,a@ucm.es
x,147.96.1.9,y,b@ucm.es
x,147.96.1.10,y,c@ucm.es
x,147.96.1.11,y,d@ucm.es
x,147.96.1.12,y,e@ucm.es
x,147.96.1.1,y,f@ucm.es
x,147.96.1.2,y,g@ucm.es
x,147.96.1.3,y,a@ucm.es
x,147.96.1.4,y,b@ucm.es
x,147.96.1.5,y,c@ucm.es
x,147.96.1.6,y,d@ucm.es
x,147.96.1.7,y,e@ucm.es
x,147.96.1.8,y,f@ucm.es
x,147.96.1.9,y,g@ucm.es
x,147.96.1.10,y,h@ucm.es
x,147.96.1.11,y,i@ucm.es
x,147.96.1.12,y,j@ucm.es
x,147.96.1.1,y,a@ucm.es
x,147.96.1.2,y,b@ucm.es
x,147.96.1.3,y,c@ucm.es
x,147.96.1.4,y,d@ucm.es
x,147.96.1.5,y,e@ucm.es
x,147.96.1.6,y,f@ucm.es
x,147.96.1.7,y,g@ucm.es
x,147.96.1.8,y,a@ucm.es
x,147.96.1.9,y,b@ucm.es
x,147.96.1.10,y,c@ucm.es
x,147.96.1.11,y,d@ucm.es
x,147.96.1.12,y,e@ucm.es
